date,price
9/4/2020,119.859116
9/8/2020,111.793205
9/9/2020,116.252243
9/10/2020,112.457108
9/11/2020,110.980659
9/14/2020,114.310081
9/15/2020,114.488449
9/16/2020,111.109482
9/17/2020,109.335777
9/18/2020,105.867622
9/21/2020,109.07814
9/22/2020,110.792389
9/23/2020,106.145088
9/24/2020,107.235069
9/25/2020,111.258118
9/28/2020,113.913719
9/29/2020,113.051643
9/30/2020,114.755981
10/1/2020,115.727081
10/2/2020,111.991371
10/5/2020,115.439713
10/6/2020,112.130112
10/7/2020,114.032639
10/8/2020,113.923637
10/9/2020,115.905449
10/12/2020,123.267815
10/13/2020,119.997849
10/14/2020,120.087029
10/15/2020,119.611397
10/16/2020,117.936775
10/19/2020,114.924454
10/20/2020,116.440514
10/21/2020,115.806343
10/22/2020,114.696541
10/23/2020,113.992989
10/26/2020,114.002899
10/27/2020,115.538803
10/28/2020,110.187935
10/29/2020,114.270447
10/30/2020,107.86924
11/2/2020,107.780052
11/3/2020,109.43486
11/4/2020,113.903816
11/5/2020,117.946693
11/6/2020,117.812683
11/9/2020,115.460205
11/10/2020,115.112793
11/11/2020,118.606766
11/12/2020,118.328842
11/13/2020,118.378471
11/16/2020,119.410782
11/17/2020,118.507515
11/18/2020,117.157562
11/19/2020,117.763054
11/20/2020,116.472656
11/23/2020,113.008453
11/24/2020,114.318703
11/25/2020,115.172333
11/27/2020,115.728203
11/30/2020,118.170021
12/1/2020,121.812897
12/2/2020,122.170242
12/3/2020,122.031281
12/4/2020,121.346367
12/7/2020,122.835289
12/8/2020,123.460625
12/9/2020,120.879845
12/10/2020,122.329048
12/11/2020,121.505188
12/14/2020,120.879845
12/15/2020,126.934761
12/16/2020,126.865265
12/17/2020,127.748695
12/18/2020,125.723778
12/21/2020,127.282158
12/22/2020,130.905182
12/23/2020,129.992004
12/24/2020,130.994537
12/28/2020,135.679642
12/29/2020,133.873077
12/30/2020,132.731598
12/31/2020,131.709198
1/4/2021,128.453445
1/5/2021,130.041611
1/6/2021,125.664207
1/7/2021,129.952286
1/8/2021,131.073929
1/11/2021,128.026627
1/12/2021,127.847954
1/13/2021,129.922516
1/14/2021,127.957138
1/15/2021,126.200218
1/19/2021,126.885124
1/20/2021,131.054092
1/21/2021,135.858307
1/22/2021,138.042053
1/25/2021,141.863571
1/26/2021,142.101822
1/27/2021,141.009949
1/28/2021,136.07666
1/29/2021,130.984604
2/1/2021,133.148483
2/2/2021,133.992203
2/3/2021,132.949982
2/4/2021,136.374451
2/5/2021,135.951965
2/8/2021,136.101074
2/9/2021,135.20639
2/10/2021,134.590073
2/11/2021,134.331604
2/12/2021,134.570175
2/16/2021,132.403061
2/17/2021,130.066956
2/18/2021,128.943619
2/19/2021,129.102661
2/22/2021,125.255539
2/23/2021,125.116379
2/24/2021,124.609375
2/25/2021,120.275139
2/26/2021,120.543549
3/1/2021,127.034973
3/2/2021,124.380745
3/3/2021,121.338821
3/4/2021,119.420219
3/5/2021,120.702599
3/8/2021,115.672493
3/9/2021,120.374557
3/10/2021,119.271126
3/11/2021,121.23941
3/12/2021,120.314911
3/15/2021,123.257416
3/16/2021,124.828079
3/17/2021,124.022873
3/18/2021,119.817856
3/19/2021,119.281052
3/22/2021,122.660965
3/23/2021,121.815987
3/24/2021,119.380455
3/25/2021,119.877502
3/26/2021,120.493843
3/29/2021,120.672775
3/30/2021,119.191582
3/31/2021,121.428291
4/1/2021,122.27327
4/5/2021,125.156136
4/6/2021,125.464294
4/7/2021,127.144318
4/8/2021,129.589798
4/9/2021,132.214188
4/12/2021,130.464584
4/13/2021,133.635727
4/14/2021,131.249939
4/15/2021,133.705307
4/16/2021,133.36734
4/19/2021,134.043304
4/20/2021,132.323547
4/21/2021,132.711227
4/22/2021,131.160446
4/23/2021,133.526382
4/26/2021,133.924026
4/27/2021,133.595963
4/28/2021,132.790756
4/29/2021,132.691345
4/30/2021,130.683289
5/3/2021,131.756897
5/4/2021,127.094604
5/5/2021,127.34314
5/6/2021,128.97345
5/7/2021,129.660553
5/10/2021,126.314705
5/11/2021,125.378685
5/12/2021,122.251923
5/13/2021,124.442642
5/14/2021,126.912178
5/17/2021,125.73716
5/18/2021,124.323143
5/19/2021,124.163834
5/20/2021,126.772766
5/21/2021,124.900703
5/24/2021,126.563652
5/25/2021,126.364502
5/26/2021,126.314705
5/27/2021,124.751335
5/28/2021,124.08416
6/1/2021,123.755554
6/2/2021,124.532257
6/3/2021,123.018684
6/4/2021,125.358765
6/7/2021,125.368721
6/8/2021,126.20517
6/9/2021,126.593529
6/10/2021,125.577835
6/11/2021,126.812599
6/14/2021,129.929382
6/15/2021,129.092926
6/16/2021,129.600784
6/17/2021,131.233856
6/18/2021,129.909485
6/21/2021,131.741699
6/22/2021,133.414612
6/23/2021,133.135803
6/24/2021,132.847046
6/25/2021,132.548294
6/28/2021,134.211258
6/29/2021,135.7547
6/30/2021,136.382065
7/1/2021,136.690735
7/2/2021,139.3694
7/6/2021,141.4207
7/7/2021,143.959946
7/8/2021,142.635559
7/9/2021,144.49765
7/12/2021,143.890228
7/13/2021,145.025421
7/14/2021,148.520599
7/15/2021,147.853424
7/16/2021,145.772247
7/19/2021,141.848877
7/20/2021,145.533249
7/21/2021,144.786423
7/22/2021,146.180527
7/23/2021,147.933075
7/26/2021,148.361282
7/27/2021,146.15065
7/28/2021,144.36821
7/29/2021,145.025421
7/30/2021,145.244492
8/2/2021,144.90593
8/3/2021,146.738174
8/4/2021,146.329895
8/5/2021,146.439423
8/6/2021,145.741333
8/9/2021,145.691467
8/10/2021,145.20282
8/11/2021,145.462112
8/12/2021,148.483841
8/13/2021,148.693268
8/16/2021,150.707748
8/17/2021,149.780304
8/18/2021,145.960739
8/19/2021,146.29982
8/20/2021,147.785751
8/23/2021,149.30162
8/24/2021,149.211838
8/25/2021,147.955276
8/26/2021,147.137527
8/27/2021,148.194641
8/30/2021,152.702286
8/31/2021,151.415817
9/1/2021,152.093964
9/2/2021,153.23085
9/3/2021,153.879089
9/7/2021,156.262573
9/8/2021,154.686874
9/9/2021,153.649719
9/10/2021,148.563614
9/13/2021,149.142044
9/14/2021,147.715927
9/15/2021,148.623459
9/16/2021,148.384094
9/17/2021,145.66156
9/20/2021,142.550064
9/21/2021,143.038727
9/22/2021,145.452133
9/23/2021,146.429459
9/24/2021,146.519211
9/27/2021,144.97345
9/28/2021,141.522888
9/29/2021,142.440369
9/30/2021,141.113998
10/1/2021,142.260849
10/4/2021,138.760437
10/5/2021,140.725067
10/6/2021,141.61264
10/7/2021,142.899109
10/8/2021,142.510162
10/11/2021,142.420425
10/12/2021,141.123962
10/13/2021,140.525604
10/14/2021,143.367828
10/15/2021,144.444885
10/18/2021,146.150223
10/19/2021,148.354187
10/20/2021,148.852829
10/21/2021,149.072235
10/22/2021,148.284393
10/25/2021,148.234528
10/26/2021,148.912674
10/27/2021,148.443954
10/28/2021,152.153809
10/29/2021,149.391357
11/1/2021,148.55365
11/2/2021,149.610764
11/3/2021,151.076752
11/4/2021,150.548187
11/5/2021,151.087509
11/8/2021,150.248581
11/9/2021,150.618103
11/10/2021,147.731781
11/11/2021,147.681839
11/12/2021,149.799149
11/15/2021,149.809128
11/16/2021,150.807861
11/17/2021,153.294693
11/18/2021,157.669113
11/19/2021,160.345718
11/22/2021,160.815109
11/23/2021,161.20462
11/24/2021,161.733948
11/26/2021,156.610474
11/29/2021,160.036102
11/30/2021,165.089676
12/1/2021,164.560349
12/2/2021,163.55162
12/3/2021,161.634064
